Date,Open,High,Low,Close,Adj Close,Volume
2022-10-17,55.470001,57.400002,55.470001,56.750000,55.882179,2744500
2022-10-18,57.840000,58.130001,56.770000,57.209999,56.335148,2807000
2022-10-19,56.970001,57.470001,55.500000,56.000000,55.143650,2630600
2022-10-20,56.189999,57.119999,55.939999,56.840000,55.970810,2137100
2022-10-21,56.860001,57.849998,56.020000,57.740002,56.857044,2378100
2022-10-24,58.040001,59.480000,57.930000,58.770000,57.871292,1507000
2022-10-25,59.150002,60.680000,59.130001,60.549999,59.624077,2134200
2022-10-26,60.680000,61.160000,59.939999,60.029999,59.112026,2428600
2022-10-27,60.389999,61.450001,60.380001,60.650002,59.722546,1643500
2022-10-28,60.820000,62.330002,60.419998,62.279999,61.327618,1583000
2022-10-31,62.000000,62.520000,61.849998,62.240002,61.288235,2623800
2022-11-01,62.570000,62.970001,61.799999,62.349998,61.396545,1724500
2022-11-02,61.810001,62.750000,60.700001,60.720001,59.791477,1857400
2022-11-03,60.259998,62.209999,60.209999,61.570000,60.628471,1805600
2022-11-04,61.959999,62.119999,60.599998,61.900002,60.953430,1666400
2022-11-07,62.090000,62.450001,61.500000,62.410000,61.455631,2047500
2022-11-08,62.860001,65.660004,62.529999,64.570000,63.582596,3369700
2022-11-09,64.510002,65.250000,63.470001,63.610001,62.637280,3020100
2022-11-10,65.250000,66.339996,64.540001,66.209999,65.197517,2351800
2022-11-11,66.529999,66.900002,65.940002,66.400002,65.384621,1797200
2022-11-14,66.059998,67.120003,65.680000,66.040001,65.030121,1824300
2022-11-15,66.709999,66.989998,64.459999,64.790001,63.799240,2372200
2022-11-16,64.860001,65.690002,64.860001,65.360001,64.360512,1303900
2022-11-17,64.849998,65.080002,64.059998,64.860001,63.868164,1414200
2022-11-18,65.489998,65.639999,64.639999,65.519997,64.518066,3453500
2022-11-21,65.559998,66.250000,65.190002,65.959999,64.951347,1468600
2022-11-22,66.160004,66.629997,65.870003,66.519997,65.502777,1876600
2022-11-23,66.449997,67.730003,66.449997,67.129997,66.103447,1170100
2022-11-25,67.129997,67.610001,66.739998,67.150002,66.123146,605000
2022-11-28,66.809998,67.180000,66.199997,66.269997,65.256607,1452800
2022-11-29,66.150002,66.730003,65.930000,66.099998,65.089203,1721600
2022-11-30,66.279999,68.910004,66.129997,68.459999,67.413116,4030800
2022-12-01,68.570000,69.110001,68.129997,68.489998,67.640266,1089700
2022-12-02,67.739998,69.220001,67.720001,68.980003,68.124184,1129900
2022-12-05,68.750000,68.820000,67.570000,67.860001,67.018082,1796500
2022-12-06,67.839996,68.099998,66.570000,67.010002,66.178627,2158100
2022-12-07,66.900002,67.470001,64.699997,64.839996,64.035538,3261800
2022-12-08,65.000000,65.470001,63.939999,64.190002,63.393612,2666000
2022-12-09,63.849998,64.209999,63.139999,63.200001,62.415894,2713600
2022-12-12,63.080002,64.699997,63.000000,64.680000,63.877529,2198500
2022-12-13,66.139999,66.690002,64.540001,64.989998,64.183678,2250100
2022-12-14,65.120003,65.360001,63.099998,63.590000,62.801052,4219900
2022-12-15,62.869999,63.340000,61.540001,61.740002,60.974007,2987900
2022-12-16,61.029999,61.480000,60.540001,60.619999,59.867901,4148900
2022-12-19,60.419998,60.900002,60.090000,60.459999,59.709881,2357200
2022-12-20,60.459999,60.700001,60.060001,60.119999,59.374104,1936600
2022-12-21,60.450001,61.860001,60.290001,61.509998,60.746857,1511300
2022-12-22,61.139999,61.139999,60.070000,61.060001,60.302444,1373100
2022-12-23,60.900002,61.560001,60.619999,61.279999,60.519711,735800
2022-12-27,61.330002,61.470001,60.700001,60.980000,60.223434,1119600
2022-12-28,61.220001,61.639999,60.630001,60.700001,59.946907,1015100
